Date,HDFCBANK,ICICIBANK,INFY,NIFTY50,NIFTYMIDCAP50,RELIANCE,TCS
2020-05-12,0.03235761549854687,0.05181203572314572,0.02757970956798088,0.022422878760813034,0.021706892657810402,0.03268641171442122,0.02909886142232102
2020-05-13,0.031760713605124,0.05056637671635777,0.0275957656243227,0.021076515541551172,0.020858195544073414,0.03264927501795351,0.028370999608273904
2020-05-14,0.032015841834331774,0.050441464909218456,0.03031149491149109,0.02170073244148444,0.02058036084564275,0.03367234684480922,0.029034633345309417
2020-05-15,0.03096136300028802,0.0504926700366538,0.03039538280000871,0.021618304289987896,0.02046601111681637,0.032211836103974566,0.02883175093663575
2020-05-18,0.03339330729587455,0.05209539428253735,0.030037053466845643,0.0229335084897804,0.023252823213494683,0.03263910268052974,0.029040448012404237
2020-05-19,0.032333940391790036,0.04693488551085537,0.030031296019825824,0.021895795768296013,0.022453317325293657,0.03227459868329604,0.027133089678294392
2020-05-20,0.03197762649062593,0.0468624687319389,0.028916759800276533,0.02246110579470849,0.02275872310797957,0.03229537284328119,0.027123578280947344
2020-05-21,0.03167188787042988,0.04340887413016776,0.027947493960448613,0.021420294224528492,0.021348234778719735,0.03217479865032196,0.02486161964284389
2020-05-22,0.03189019419969303,0.04411460747005483,0.028466179611981307,0.020873556573491738,0.021228247648862664,0.024899169442747844,0.024788877752779562
2020-05-26,0.03137751190408601,0.042325456059866026,0.026037584446369298,0.020609106329013145,0.021467896428786205,0.024951637019596698,0.02349321879010582
2020-05-27,0.03415345346876658,0.04578996957219694,0.026081382213737896,0.021447232488662545,0.020534288943033233,0.024133497546771195,0.023011977959762658
2020-05-28,0.035586689722047364,0.04528545080837906,0.026036685904052233,0.021616245257892387,0.020497683513187724,0.024364863362191378,0.023005644461511165
2020-05-29,0.0356100540968852,0.04471574459902092,0.026120454341319353,0.02159323348173976,0.020318959568998932,0.024407989545438363,0.023337426490226333
2020-06-01,0.034973098023034443,0.044475765193829245,0.025779841174886152,0.021930433553719597,0.02131176563388012,0.025616617704192508,0.02400595700127116
2020-06-02,0.03465894087497574,0.044501958901431195,0.022815425566917374,0.021084063600034914,0.021041363585171474,0.025099934353758704,0.020819993733810084
2020-06-03,0.02937501254239576,0.03648922178919078,0.018350837933613463,0.016070282343754044,0.017712231486207722,0.024495558250083246,0.01829700096146818
2020-06-04,0.029651189993638263,0.03663210324248684,0.01838956874364126,0.01586803411978358,0.01750200572777215,0.024732602120818323,0.018754238125205436
2020-06-05,0.0293191300512333,0.03645445522942265,0.018204027310194906,0.015932621322899475,0.01759047951439648,0.024724409816382818,0.01908427739012896
2020-06-08,0.029076324235762115,0.03628484420494466,0.01873028088544481,0.015699922610141942,0.017391623735228456,0.024056031853742423,0.019014866847288463
2020-06-09,0.029956080890878634,0.037077010172279205,0.018701038013562387,0.016114587267855363,0.017445076046975747,0.023288411590701365,0.019022895266421553
2020-06-10,0.02969443317435997,0.03492859535995695,0.01862174463136916,0.016080346085288837,0.01751967223635527,0.02373027154854968,0.01884684741867414
2020-06-11,0.030008234153171515,0.03592713052503754,0.01907677515265446,0.01694015894717898,0.017781241757276658,0.01945054409896706,0.01953400861034634
2020-06-12,0.029573855421684205,0.03423020385962956,0.019416988681340383,0.016535577229231827,0.017312498652483892,0.020167075121343855,0.019863915905060443
2020-06-15,0.0293626582098366,0.03458649602854602,0.015159411351047238,0.015794759495029054,0.017802802355341377,0.017615223472122323,0.01897516999689859
2020-06-16,0.030465984234174907,0.03520055592757056,0.015343056000486573,0.015833453662628328,0.017748102971071267,0.01745958838791862,0.01890352366984436
2020-06-17,0.02693458976841718,0.03000865362416241,0.01502609484480748,0.013251237604436184,0.011881094135375792,0.017051916737820475,0.018115845111394135
2020-06-18,0.0276480705500341,0.03040651899847901,0.01520176655670786,0.01368715173686752,0.011940455197487945,0.016295459494959655,0.01818574287732536
2020-06-19,0.027219344067460637,0.03084127187448179,0.01557128680287598,0.013427389884175602,0.011870941612021704,0.01991116775573009,0.018186754461160994
2020-06-22,0.027347174846719915,0.030711698229870358,0.015620169609906299,0.013423958145726217,0.012153628119085463,0.02024922721840427,0.017901105106956895
2020-06-23,0.026292970369308645,0.028237678801759546,0.015173622921066127,0.013213513706109117,0.011506348832002935,0.02062410038768828,0.01764547747624819
2020-06-24,0.026603337481511734,0.03436807707565231,0.01474232918365896,0.014039588859342325,0.012658534702277423,0.020406945578354475,0.015145024771456619
2020-06-25,0.024195187328749663,0.029462524780113106,0.013429840205547631,0.012912011006157693,0.012645719322412576,0.02061489887729661,0.013939001124859811
2020-06-26,0.023021639768382795,0.02916257487254206,0.019634910267953682,0.01256214890983392,0.012522417457011683,0.02052705416856569,0.01760238730780419
2020-06-29,0.023197656569272723,0.02934663933852007,0.020224255973983904,0.012727983496664886,0.01347854028229868,0.02073239283582751,0.01725977244864378
